ID_PROVA_BRASIL,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,Qual é a sua cor ou raça?,Na sua casa tem televisão?,Na sua casa tem geladeira?,Na sua casa tem máquina de lavar roupa?,Na sua casa tem carro?,Na sua casa tem computador?,Na sua casa tem banheiro?,Na sua casa tem quartos para dormir?,"Normalmente, quem mora na sua casa? - Mãe (mães ou madrasta).",Qual é a maior escolaridade da sua mãe (ou mulher responsável por você)?,"Normalmente, quem mora na sua casa? - Pai (pais ou padrasto).",Qual é a maior escolaridade de seu pai (ou homem responsável por você)?,Seus pais ou responsáveis vão à reunião de pais?,"Fora da escola em dias de aula, quanto tempo você usa para: - Lazer (TV, internet, brincar, música etc.).","Fora da escola em dias de aula, quanto tempo você usa para: - Trabalhar em casa (lavar louça, limpar quintal, cuidar dos irmãos).",Você já foi reprovado(a)?,Alguma vez você abandonou a escola deixando de frequentá-la até o final do ano escolar?,Seus pais ou responsáveis incentivam você a estudar?,Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?,Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?,Seus pais ou responsáveis conversam com você sobre o que acontece na escola?,Atualmente você trabalha fora de casa (recebendo ou não um salário)?,Na sua casa tem: - Freezer (independente ou segunda porta da geladeira).
2015,61175865,0,1,723959,12,21290084,1,1,"5,8574006","5,8574006","0,993048","304,695344","0,538498","280,062288",1,Branco(a),"Sim, três ou mais","Sim, duas",Sim,"Sim, três ou mais","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2015,61175865,0,1,723959,12,21290082,1,1,"5,8574006","5,8574006","2,225781","372,61075","2,965034","415,687034",1,Pardo(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, um","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Fundamental completo,Sim,Ensino Superior completo (faculdade ou graduação),Não,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Sim,Não,Sim,Não,Não,Sim
2015,61175865,0,1,723959,12,21290081,1,1,"5,8574006","5,8574006","1,713006","344,360251","2,737784","402,985502",1,Branco(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, um","Sim, um","Sim, dois","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não,Ensino Médio completo,Não,Mais de 2 horas,Menos de 1 hora,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2015,61175865,0,1,723959,12,21290080,1,1,"5,8574006","5,8574006","0,331763","268,262929","1,971075","360,132351",1,Não respondeu/Não soube responder,"Sim, três ou mais","Sim, uma",Sim,"Sim, dois","Sim, três ou mais","Sim, dois","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não respondeu/Não soube responder,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Entre 1 e 2 horas,"Sim, uma vez",Não,Sim,Sim,Sim,Não,Sim,Sim
2015,61175865,0,1,723959,12,21290079,1,1,"5,8574006","5,8574006","2,245958","373,722369","2,62514","396,689567",1,Amarelo(a),"Sim, uma","Sim, uma",Sim,"Sim, um","Sim, dois","Sim, dois","Sim, três ou mais",Não,Ensino Superior completo (faculdade ou graduação),Não,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Entre 1 e 2 horas,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2015,61175865,0,1,723959,12,21290078,1,1,"5,8574006","5,8574006","0,856384","297,166064","3,057871","420,87591",1,Pardo(a),"Sim, duas","Sim, uma",Sim,"Sim, um","Sim, um","Sim, dois","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não,Ensino Superior completo (faculdade ou graduação),Não,Entre 1 e 2 horas,Menos de 1 hora,Não,Não,Sim,Não,Sim,Não,Não,Sim
2015,61175865,0,1,723959,12,21290076,1,1,"5,8574006","5,8574006","1,947888","357,30069","1,668677","343,230623",1,Branco(a),"Sim, três ou mais","Sim, uma",Sim,"Sim, três ou mais","Sim, dois","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Entre 1 e 2 horas,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2015,61175865,0,1,723959,12,21290074,1,1,"5,8574006","5,8574006","1,801598","349,241082","0,105238","255,846378",1,Pardo(a),"Sim, três ou mais","Sim, duas",Sim,"Sim, dois","Sim, um","Sim, três ou mais","Sim, três ou mais",Sim,Ensino Superior completo (faculdade ou graduação),Não,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Não uso meu tempo para isso,Não,Não,Sim,Não,Sim,Não,Não,Sim
2015,61175865,0,1,723959,12,21290072,1,1,"5,8574006","5,8574006","1,770613","347,534014","2,046088","364,325002",1,Pardo(a),"Sim, três ou mais","Sim, duas",Sim,"Sim, três ou mais","Sim, três ou mais","Sim, três ou mais","Sim, três ou mais",Não,Ensino Superior completo (faculdade ou graduação),Sim,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Não uso meu tempo para isso,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
2015,61175865,0,1,723959,12,21290070,1,1,"5,8574006","5,8574006","2,096942","365,512576","1,591249","338,902992",1,Pardo(a),"Sim, duas","Sim, uma",Sim,"Sim, um","Sim, um","Sim, um","Sim, dois",Sim,Ensino Superior completo (faculdade ou graduação),Não,Ensino Superior completo (faculdade ou graduação),Não,Mais de 2 horas,Não uso meu tempo para isso,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
